latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.082,-45.749,305.3,1,1,2015-10-18, 01:35,T,27,5.0       ,295.2,8
-12.479,-50.964,331.5,1.4,1.2,2015-10-18, 16:50,A,53,5.0       ,308.2,25.5
-12.477,-50.952,331.5,1.4,1.2,2015-10-18, 16:50,A,51,5.0       ,310.3,23.2
-12.381,-50.235,343.3,1.2,1.1,2015-10-18, 16:50,A,86,5.0       ,312.5,42.5
-12.372,-50.167,348.6,1.2,1.1,2015-10-18, 16:50,A,92,5.0       ,316.7,55.1
-11.978,-47.326,329.9,1,1,2015-10-18, 16:50,A,83,5.0       ,311.4,14
-12.384,-50.177,340.8,1.2,1.1,2015-10-18, 16:50,A,81,5.0       ,313.2,33.8
-12.382,-50.166,350.8,1.2,1.1,2015-10-18, 16:50,A,96,5.0       ,314.7,63.5
-11.951,-47.078,339.9,1,1,2015-10-18, 16:50,A,72,5.0       ,315.2,28.1
-12.045,-47.67,333.6,1,1,2015-10-18, 16:50,A,80,5.0       ,315.1,17.1
-11.96,-47.077,353.5,1,1,2015-10-18, 16:50,A,97,5.0       ,315.9,54.7
-12.96,-54.883,330.1,2.8,1.6,2015-10-18, 16:50,A,76,5.0       ,308.2,69.9
-12.108,-47.993,334.5,1,1,2015-10-18, 16:50,A,81,5.0       ,314.1,22.1
-12.905,-54.147,323.2,2.4,1.5,2015-10-18, 16:50,A,53,5.0       ,307.8,51.6
-12.117,-47.992,341.4,1,1,2015-10-18, 16:50,A,91,5.0       ,313.2,34.4
-12.089,-47.789,339.9,1,1,2015-10-18, 16:50,A,82,5.0       ,315.6,26.8
-12.099,-47.797,344,1,1,2015-10-18, 16:50,A,86,5.0       ,313.5,35.9
-12.457,-50.347,358.4,1.3,1.1,2015-10-18, 16:50,A,99,5.0       ,311.7,92.4
-12.455,-50.335,371.9,1.3,1.1,2015-10-18, 16:50,A,100,5.0       ,313.7,151.5
-11.763,-45.428,345.1,1.1,1,2015-10-18, 16:50,A,15,5.0       ,320.8,30.5
-12.468,-50.357,339.7,1.3,1.1,2015-10-18, 16:50,A,90,5.0       ,311.4,30.6
-12.467,-50.346,379,1.3,1.1,2015-10-18, 16:50,A,100,5.0       ,318.5,184.3
-12.465,-50.334,345.4,1.3,1.1,2015-10-18, 16:50,A,93,5.0       ,316.9,51.9
-12.464,-50.323,332,1.3,1.1,2015-10-18, 16:50,A,83,5.0       ,313.3,21.8
-12.055,-47.355,339.7,1,1,2015-10-18, 16:50,A,90,5.0       ,315.1,26.8
-11.774,-45.436,340,1.1,1,2015-10-18, 16:50,A,59,5.0       ,322.2,21.9
