latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.698,-36.337,308.4,2.5,1.5,2015-10-12, 00:30,T,61,5.0       ,290.7,51.1
-21.702,-41.221,313.8,3.7,1.8,2015-10-12, 02:05,T,83,5.0       ,293.7,111.7
-21.704,-41.189,310.4,3.7,1.8,2015-10-12, 02:05,T,70,5.0       ,293.9,90.7
-21.711,-41.224,309.8,3.7,1.8,2015-10-12, 02:05,T,68,5.0       ,293.6,85.6
-21.97,-48.618,317.7,1.2,1.1,2015-10-12, 02:05,T,94,5.0       ,291.3,26.5
-21.397,-48.115,306.1,1.2,1.1,2015-10-12, 02:05,T,42,5.0       ,284.9,17
-19.806,-42.11,313.6,3.5,1.8,2015-10-12, 02:05,T,82,5.0       ,290.6,111.9
-19.812,-42.138,321.1,3.5,1.8,2015-10-12, 02:05,T,100,5.0       ,292.5,159.4
-19.813,-42.114,317.8,3.5,1.8,2015-10-12, 02:05,T,94,5.0       ,291.1,140.5
-19.818,-42.142,311.8,3.5,1.8,2015-10-12, 02:05,T,76,5.0       ,292.3,97.6
-19.398,-42.67,308.5,3.2,1.7,2015-10-12, 02:05,T,61,5.0       ,291.5,69
-19.404,-42.7,308.3,3.2,1.7,2015-10-12, 02:05,T,60,5.0       ,290.7,70.5
-19.383,-42.675,311.1,3.2,1.7,2015-10-12, 02:05,T,74,5.0       ,290.4,79.2
-19.387,-42.679,323.4,3.2,1.7,2015-10-12, 02:05,T,100,5.0       ,290.9,161.9
-19.393,-42.708,305.7,3.2,1.7,2015-10-12, 02:05,T,36,5.0       ,290.1,58.6
-19.84,-46.226,307.4,1.8,1.3,2015-10-12, 02:05,T,54,5.0       ,289.6,28.2
-19.555,-46.519,316.8,1.7,1.3,2015-10-12, 02:05,T,92,5.0       ,286.4,48.2
-18.073,-42.797,315.2,3.4,1.7,2015-10-12, 02:05,T,87,5.0       ,289.9,119.6
-17.547,-47.717,312.1,1.5,1.2,2015-10-12, 02:05,T,77,5.0       ,290.4,27.8
-17.546,-47.722,308.1,1.5,1.2,2015-10-12, 02:05,T,19,5.0       ,290.3,19.4
-17.522,-47.712,307.4,1.5,1.2,2015-10-12, 02:05,T,16,5.0       ,291.8,18.7
-17.327,-46.902,307.3,1.7,1.3,2015-10-12, 02:05,T,35,5.0       ,294.6,22.8
-17.446,-50.82,334.1,1.1,1,2015-10-12, 02:05,T,100,5.0       ,290.8,47.3
-17.448,-50.829,309.4,1,1,2015-10-12, 02:05,T,66,5.0       ,292.2,13.5
-17.034,-51.267,323.2,1,1,2015-10-12, 02:05,T,100,5.0       ,288.2,28.2
-16.473,-47.994,305.9,1.5,1.2,2015-10-12, 02:05,T,38,5.0       ,293.9,15
-15.892,-45.491,307,2.4,1.5,2015-10-12, 02:05,T,50,5.0       ,293.2,37
-16.241,-47.7,314.8,1.6,1.2,2015-10-12, 02:05,T,86,5.0       ,291,39
-16.244,-47.715,312.5,1.6,1.2,2015-10-12, 02:05,T,79,5.0       ,291.5,33.7
-16.242,-47.706,323.3,1.6,1.2,2015-10-12, 02:05,T,100,5.0       ,292.1,59.2
-15.847,-46.05,307.2,2.2,1.4,2015-10-12, 02:05,T,53,5.0       ,295.5,32.7
-16.776,-52.599,306.8,1,1,2015-10-12, 02:05,T,49,5.0       ,291.9,9.4
-16.767,-52.6,308.3,1,1,2015-10-12, 02:05,T,60,5.0       ,291.7,10.8
-15.229,-43.972,309.5,3.2,1.7,2015-10-12, 02:05,T,66,5.0       ,292.3,69.6
-15.234,-44.001,370.4,3.2,1.7,2015-10-12, 02:05,T,100,5.0       ,296.7,693.9
