latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-14.003,-49.44,322.8,4.3,1.9,2015-10-13, 01:15,T,100,5.0       ,279.7,247.4
-13.5,-45.539,305.6,2.1,1.4,2015-10-13, 01:15,T,33,5.0       ,288.8,33.9
-13.659,-47.163,307.4,2.9,1.6,2015-10-13, 01:15,T,54,5.0       ,295.3,34.7
-13.657,-47.173,306,2.9,1.6,2015-10-13, 01:15,T,22,5.0       ,295.6,28.2
-13.475,-46.451,308.5,2.5,1.5,2015-10-13, 01:15,T,44,5.0       ,296.6,29.7
-13.468,-46.458,310.3,2.5,1.5,2015-10-13, 01:15,T,70,5.0       ,296.7,37.2
-12.192,-43.472,307.1,1.4,1.2,2015-10-13, 01:15,T,52,5.0       ,296,13.8
-12.141,-43.668,321.8,1.5,1.2,2015-10-13, 01:15,T,100,5.0       ,296,43
-12.143,-43.682,310.9,1.5,1.2,2015-10-13, 01:15,T,73,5.0       ,294.8,22
-12.137,-43.662,306,1.5,1.2,2015-10-13, 01:15,T,40,5.0       ,295.8,13.5
-12.138,-43.675,325.4,1.5,1.2,2015-10-13, 01:15,T,100,5.0       ,296.1,51.5
-12.246,-46.948,320.8,2.6,1.6,2015-10-13, 01:15,T,100,5.0       ,295.4,92.9
-12.238,-46.929,307.7,2.6,1.6,2015-10-13, 01:15,T,56,5.0       ,294.9,38.1
-12.241,-46.953,315.5,2.6,1.6,2015-10-13, 01:15,T,88,5.0       ,294.7,69
-12.1,-46.46,310.1,2.4,1.5,2015-10-13, 01:15,T,69,5.0       ,296.9,34
-12.105,-46.466,307.8,2.4,1.5,2015-10-13, 01:15,T,56,5.0       ,296.9,29.5
-12.31,-48.742,309.2,3.6,1.8,2015-10-13, 01:15,T,65,5.0       ,275.3,102.7
-12.294,-48.744,315.3,3.6,1.8,2015-10-13, 01:15,T,88,5.0       ,271.9,136.9
-11.657,-43.502,306.5,1.4,1.2,2015-10-13, 01:15,T,5,5.0       ,295.7,11
-12.302,-48.748,326.2,3.6,1.8,2015-10-13, 01:15,T,100,5.0       ,273,221.2
-11.71,-45.354,305.2,1.9,1.4,2015-10-13, 01:15,T,6,5.0       ,294,21.5
-11.706,-45.36,308.9,1.9,1.4,2015-10-13, 01:15,T,63,5.0       ,294.6,31.1
-11.796,-47.519,305.6,2.9,1.6,2015-10-13, 01:15,T,30,5.0       ,294.8,32
-11.794,-47.524,305.7,2.9,1.6,2015-10-13, 01:15,T,30,5.0       ,295.3,31.7
-10.176,-36.46,330.3,1.3,1.1,2015-10-13, 01:15,T,100,5.0       ,293.6,57.8
-10.178,-36.472,308.4,1.3,1.1,2015-10-13, 01:15,T,61,5.0       ,292.8,18.3
-11.227,-43.871,311.6,1.5,1.2,2015-10-13, 01:15,T,69,5.0       ,295.7,21.7
-11.228,-43.884,311.4,1.5,1.2,2015-10-13, 01:15,T,75,5.0       ,296.4,19.9
-11.767,-48.453,305.4,3.4,1.7,2015-10-13, 01:15,T,31,5.0       ,290.9,54.8
-11.198,-43.902,309.7,1.5,1.2,2015-10-13, 01:15,T,37,5.0       ,296.4,14.7
-11.187,-43.903,314.2,1.5,1.2,2015-10-13, 01:15,T,84,5.0       ,296.1,24
-11.569,-47.006,306.4,2.6,1.5,2015-10-13, 01:15,T,36,5.0       ,294.3,29.9
