latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-13.141,-48.542,308.6,1.1,1,2015-10-14, 01:55,T,57,5.0       ,297.2,9
-13.143,-48.551,309.3,1.1,1,2015-10-14, 01:55,T,49,5.0       ,296.7,10.5
-13.439,-50.602,334.5,1,1,2015-10-14, 01:55,T,100,5.0       ,301.2,42.2
-13.44,-50.611,345.8,1,1,2015-10-14, 01:55,T,100,5.0       ,299.6,63.6
-13.428,-50.594,312.6,1,1,2015-10-14, 01:55,T,79,5.0       ,297.2,13.5
-14.548,-59.887,307.1,4.1,1.9,2015-10-14, 01:55,T,51,5.0       ,291.9,71.7
-14.545,-59.895,308.2,4.1,1.9,2015-10-14, 01:55,T,59,5.0       ,291.8,76.8
-13.168,-49.417,305.2,1,1,2015-10-14, 01:55,T,22,5.0       ,294.8,7.7
-13.194,-49.724,310.8,1,1,2015-10-14, 01:55,T,72,5.0       ,296.1,12.1
-13.196,-49.734,307.5,1,1,2015-10-14, 01:55,T,36,5.0       ,295.6,8.7
-13.18,-49.755,309,1,1,2015-10-14, 01:55,T,64,5.0       ,295.4,10.4
-12.156,-43.395,306,2.4,1.5,2015-10-14, 01:55,T,39,5.0       ,295.7,24.7
-13.647,-53.417,315.4,1.3,1.1,2015-10-14, 01:55,T,88,5.0       ,295,25.3
-13.079,-49.37,344.5,1,1,2015-10-14, 01:55,T,100,5.0       ,296.4,61.8
-13.08,-49.379,310.8,1,1,2015-10-14, 01:55,T,72,5.0       ,293.6,12
-13.143,-49.813,307.1,1,1,2015-10-14, 01:55,T,51,5.0       ,296.3,8.2
-13.144,-49.823,307.9,1,1,2015-10-14, 01:55,T,57,5.0       ,296.6,8.9
-12.956,-48.722,319.7,1.1,1,2015-10-14, 01:55,T,99,5.0       ,295.7,24
-12.957,-48.731,318.5,1.1,1,2015-10-14, 01:55,T,96,5.0       ,294.4,22.3
-13.056,-49.402,315.8,1,1,2015-10-14, 01:55,T,89,5.0       ,296.7,17.4
-13.057,-49.411,313.4,1,1,2015-10-14, 01:55,T,82,5.0       ,295.1,14.8
-12.883,-48.531,308.5,1.1,1,2015-10-14, 01:55,T,61,5.0       ,294.8,10.5
-13.008,-49.387,336.1,1,1,2015-10-14, 01:55,T,100,5.0       ,293.2,46.2
-13.009,-49.397,307.6,1,1,2015-10-14, 01:55,T,49,5.0       ,289.7,9.4
-13.201,-50.741,309.9,1,1,2015-10-14, 01:55,T,62,5.0       ,296.2,11.1
-13.191,-50.733,308.7,1,1,2015-10-14, 01:55,T,31,5.0       ,296.4,9.6
-13.167,-50.699,328.6,1,1,2015-10-14, 01:55,T,100,5.0       ,296.7,33.8
-13.169,-50.708,326.2,1,1,2015-10-14, 01:55,T,100,5.0       ,297,30.1
-13.158,-50.7,316.8,1,1,2015-10-14, 01:55,T,92,5.0       ,295.6,19.3
-12.853,-48.774,311.7,1.1,1,2015-10-14, 01:55,T,76,5.0       ,296.3,14.5
-13.446,-53.518,308.8,1.3,1.1,2015-10-14, 01:55,T,63,5.0       ,294.5,15.2
-13.448,-53.53,307.5,1.3,1.1,2015-10-14, 01:55,T,55,5.0       ,294.8,13.4
-12.989,-50.346,306.5,1,1,2015-10-14, 01:55,T,46,5.0       ,295.7,10.1
-12.99,-50.355,307.6,1,1,2015-10-14, 01:55,T,55,5.0       ,295.8,11.1
-13.011,-50.63,311.2,1,1,2015-10-14, 01:55,T,51,5.0       ,294.9,12
-13.422,-54.042,316,1.4,1.2,2015-10-14, 01:55,T,90,5.0       ,294.9,30.3
-13.411,-54.043,311.1,1.4,1.2,2015-10-14, 01:55,T,73,5.0       ,294.4,21.5
-12.936,-50.557,314,1,1,2015-10-14, 01:55,T,84,5.0       ,296.1,14.8
-12.937,-50.566,406.2,1,1,2015-10-14, 01:55,T,100,5.0       ,314.4,297.2
-12.939,-50.575,382.9,1,1,2015-10-14, 01:55,T,100,5.0       ,303.8,176
-12.927,-50.558,399.5,1,1,2015-10-14, 01:55,T,100,5.0       ,304.7,256.8
-12.928,-50.568,399,1,1,2015-10-14, 01:55,T,100,5.0       ,306.3,254
-12.93,-50.577,310.3,1,1,2015-10-14, 01:55,T,43,5.0       ,295.2,11.8
-12.917,-50.55,330.8,1,1,2015-10-14, 01:55,T,100,5.0       ,297.4,35.7
-12.918,-50.56,319.1,1,1,2015-10-14, 01:55,T,97,5.0       ,294.3,20.6
-12.906,-50.539,310.9,1,1,2015-10-14, 01:55,T,46,5.0       ,297.6,11.5
-12.899,-50.559,334.8,1,1,2015-10-14, 01:55,T,100,5.0       ,297.9,43.2
-12.754,-49.606,306.9,1,1,2015-10-14, 01:55,T,49,5.0       ,294.6,9.1
-12.889,-50.551,316.9,1,1,2015-10-14, 01:55,T,50,5.0       ,297.6,17.4
-12.879,-50.543,309.1,1,1,2015-10-14, 01:55,T,53,5.0       ,294.1,10.4
-12.88,-50.552,311.2,1,1,2015-10-14, 01:55,T,63,5.0       ,294.5,13
-11.659,-43.494,305.8,2.4,1.5,2015-10-14, 01:55,T,38,5.0       ,295.6,31.3
-12.351,-47.893,312.2,1.2,1.1,2015-10-14, 01:55,T,76,5.0       ,295.6,16.6
-11.88,-45.03,308.6,1.8,1.3,2015-10-14, 01:55,T,26,5.0       ,297.4,18.6
-12.341,-47.895,347.3,1.2,1.1,2015-10-14, 01:55,T,100,5.0       ,296.6,82.1
-13.189,-53.993,315.1,1.4,1.2,2015-10-14, 01:55,T,87,5.0       ,294.6,27.6
-12.337,-47.891,312.5,1.2,1.1,2015-10-14, 01:55,T,79,5.0       ,294.6,18.5
-12.334,-49.372,309,1,1,2015-10-14, 01:55,T,64,5.0       ,295.3,11.2
-11.703,-45.484,319.8,1.7,1.3,2015-10-14, 01:55,T,99,5.0       ,291.9,48.6
-11.705,-45.499,307.5,1.7,1.3,2015-10-14, 01:55,T,29,5.0       ,291.4,22
-11.61,-44.993,309.8,1.8,1.3,2015-10-14, 01:55,T,68,5.0       ,293.7,29.3
