latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-7.502,-34.887,316.7,1.4,1.2,2015-10-19, 00:40,T,92,5.0       ,294.1,30.2
-6.454,-35.116,334.5,1.4,1.2,2015-10-19, 00:40,T,100,5.0       ,294,70.2
-6.456,-35.129,321.1,1.4,1.2,2015-10-19, 00:40,T,100,5.0       ,293.6,40.1
-11.59,-50.371,336.5,1.6,1.3,2015-10-19, 02:15,T,100,5.0       ,300.1,84.2
-11.576,-50.358,322.1,1.6,1.3,2015-10-19, 02:15,T,100,5.0       ,298.7,42.8
-11.578,-50.373,330.1,1.6,1.3,2015-10-19, 02:15,T,100,5.0       ,299.2,64.8
-24.758,-62.849,306.1,4.1,1.9,2015-10-19, 02:10,T,42,5.0       ,269.2,119.6
-22.876,-51.425,305.8,1,1,2015-10-19, 02:10,T,37,5.0       ,290.4,11.6
-22.878,-51.435,339.2,1,1,2015-10-19, 02:10,T,100,5.0       ,291.9,56.3
-22.24,-48.585,309.3,1.4,1.2,2015-10-19, 02:10,T,66,5.0       ,286.8,24.5
-22.242,-48.599,316.5,1.4,1.2,2015-10-19, 02:10,T,91,5.0       ,286.4,36.5
-22.229,-48.587,309.6,1.4,1.2,2015-10-19, 02:10,T,67,5.0       ,287.2,24.5
-22.231,-48.601,320.9,1.4,1.2,2015-10-19, 02:10,T,100,5.0       ,287.5,44.7
-21.56,-46.739,321.8,1.9,1.4,2015-10-19, 02:10,T,100,5.0       ,292.4,68.5
-21.723,-48.808,335.6,1.4,1.2,2015-10-19, 02:10,T,100,5.0       ,290.8,76.9
-21.697,-50.093,305.5,1.2,1.1,2015-10-19, 02:10,T,28,5.0       ,290.9,14.5
-21.403,-49.23,328.8,1.3,1.1,2015-10-19, 02:10,T,100,5.0       ,291.6,54.6
-21.393,-49.232,305.9,1.3,1.1,2015-10-19, 02:10,T,39,5.0       ,291.3,15.5
-21.448,-50.523,325,1.1,1.1,2015-10-19, 02:10,T,100,5.0       ,293,37.1
-21.45,-50.534,327,1.1,1.1,2015-10-19, 02:10,T,100,5.0       ,293.4,40.1
-20.87,-47.871,353.4,1.7,1.3,2015-10-19, 02:10,T,100,5.0       ,294.7,169.9
-20.873,-47.886,328.4,1.6,1.3,2015-10-19, 02:10,T,100,5.0       ,293.5,71.7
-21.01,-48.668,316.1,1.5,1.2,2015-10-19, 02:10,T,90,5.0       ,286.7,37.4
-20.873,-47.876,346.4,1.7,1.3,2015-10-19, 02:10,T,100,5.0       ,295,139
-21.007,-48.674,307.9,1.5,1.2,2015-10-19, 02:10,T,57,5.0       ,286.1,22.8
-20.861,-47.878,313.6,1.7,1.3,2015-10-19, 02:10,T,82,5.0       ,293.1,35.5
-3.463,-59.522,318.1,1.2,1.1,2015-10-19, 02:20,T,95,5.0       ,297.4,24.7
