latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-7.688,-35.188,314.8,1.1,1.1,2015-12-02, 01:00,T,86,5.0       ,292.7,20
-7.683,-35.184,315,1.1,1.1,2015-12-02, 01:00,T,87,5.0       ,293.3,20.6
-7.684,-35.194,316.9,1.1,1.1,2015-12-02, 01:00,T,92,5.0       ,292.9,23.2
-7.473,-35.207,338.3,1.1,1.1,2015-12-02, 01:00,T,100,5.0       ,293.9,60.4
-8.253,-46.212,310.8,3.5,1.8,2015-12-02, 01:00,T,73,5.0       ,293.3,75.6
-8.258,-46.216,312.6,3.5,1.8,2015-12-02, 01:00,T,79,5.0       ,293.7,88.3
-5.26,-36.193,306.3,1.1,1,2015-12-02, 01:05,T,43,5.0       ,294.3,8.3
-5.261,-36.202,306.7,1.1,1,2015-12-02, 01:05,T,48,5.0       ,294.3,8.6
-5.961,-45.412,305.6,2.8,1.6,2015-12-02, 01:05,T,10,5.0       ,293.9,35.5
-5.566,-44.054,331.5,2.1,1.4,2015-12-02, 01:05,T,100,5.0       ,295.1,113.8
-5.569,-44.073,341.9,2.1,1.4,2015-12-02, 01:05,T,100,5.0       ,297.2,167.8
-5.554,-44.056,320.5,2.1,1.4,2015-12-02, 01:05,T,100,5.0       ,293.7,68.6
-5.556,-44.075,332.2,2.1,1.4,2015-12-02, 01:05,T,100,5.0       ,294.4,117.4
-5.305,-42.794,311.9,1.7,1.3,2015-12-02, 01:05,T,77,5.0       ,298.3,23
-4.654,-46.705,309.2,3.5,1.8,2015-12-02, 04:00,A,62,5.0       ,293.3,59.9
-4.708,-46.371,307.1,3.3,1.7,2015-12-02, 04:00,A,33,5.0       ,294.3,42.9
-4.713,-46.342,324.5,3.3,1.7,2015-12-02, 04:00,A,100,5.0       ,295.1,151
-5.145,-43.908,310.3,2.1,1.4,2015-12-02, 04:00,A,70,5.0       ,295.3,32.1
-4.866,-45.77,306,2.9,1.6,2015-12-02, 04:00,A,39,5.0       ,294.6,36.2
-5.284,-43.252,308.5,1.8,1.3,2015-12-02, 04:00,A,61,5.0       ,295.2,25.1
-4.865,-45.778,307.9,2.9,1.6,2015-12-02, 04:00,A,57,5.0       ,294.5,41.9
-4.834,-46.249,306.1,3.2,1.7,2015-12-02, 04:00,A,21,5.0       ,294.4,35.5
-4.849,-46.252,318,3.2,1.7,2015-12-02, 04:00,A,95,5.0       ,295.1,101.7
-5.156,-44.412,306.7,2.3,1.5,2015-12-02, 04:00,A,48,5.0       ,295.1,25.4
-5.371,-43.715,354.5,2,1.4,2015-12-02, 04:00,A,100,5.0       ,298.2,224.6
-5.374,-43.697,318.1,2,1.4,2015-12-02, 04:00,A,95,5.0       ,295.2,53.3
-5.384,-43.716,396,2,1.4,2015-12-02, 04:00,A,100,5.0       ,303.5,644.7
-5.386,-43.699,364.1,2,1.4,2015-12-02, 04:00,A,100,5.0       ,300.4,293.5
-5.385,-43.724,347.7,2,1.4,2015-12-02, 04:00,A,100,5.0       ,296.9,181
-5.388,-43.706,368.6,2,1.4,2015-12-02, 04:00,A,100,5.0       ,303.6,330.4
-5.391,-43.688,307.4,2,1.4,2015-12-02, 04:00,A,54,5.0       ,295.1,24.2
-5.209,-44.887,305.8,2.5,1.5,2015-12-02, 04:00,A,38,5.0       ,295.2,25.1
-5.004,-46.623,313.7,3.4,1.7,2015-12-02, 04:00,A,83,5.0       ,294.9,82
-5,-46.628,311.2,3.4,1.7,2015-12-02, 04:00,A,69,5.0       ,294.7,63.9
-5.016,-46.631,305.6,3.4,1.7,2015-12-02, 04:00,A,12,5.0       ,294.5,35.6
-5.116,-46.402,308,3.3,1.7,2015-12-02, 04:00,A,16,5.0       ,294.4,44
-5.121,-46.372,308.7,3.2,1.7,2015-12-02, 04:00,A,33,5.0       ,294.5,47.2
-5.131,-46.404,314.5,3.3,1.7,2015-12-02, 04:00,A,69,5.0       ,294.9,77.7
-5.136,-46.376,309.9,3.2,1.7,2015-12-02, 04:00,A,18,5.0       ,294.8,50.6
-5.147,-46.407,311.9,3.3,1.7,2015-12-02, 04:00,A,39,5.0       ,294.6,63.3
-5.736,-42.773,311,1.7,1.3,2015-12-02, 04:00,A,68,5.0       ,298.6,21.1
-5.131,-46.382,313,3.2,1.7,2015-12-02, 04:00,A,42,5.0       ,294.9,66.5
-5.142,-46.413,312.4,3.3,1.7,2015-12-02, 04:00,A,78,5.0       ,294.7,69.6
-5.147,-46.385,313.3,3.2,1.7,2015-12-02, 04:00,A,82,5.0       ,294.9,74.1
-5.461,-44.718,313.9,2.4,1.5,2015-12-02, 04:00,A,83,5.0       ,295.2,49
-5.566,-44.062,312.7,2.1,1.4,2015-12-02, 04:00,A,80,5.0       ,294.6,44.9
-5.521,-44.771,311.8,2.4,1.5,2015-12-02, 04:00,A,76,5.0       ,294.8,42.7
-5.525,-44.751,314.9,2.4,1.5,2015-12-02, 04:00,A,87,5.0       ,294.6,53.7
-5.534,-44.757,320.8,2.4,1.5,2015-12-02, 04:00,A,100,5.0       ,295,78.1
-7.932,-36.257,309.8,1.1,1.1,2015-12-02, 04:00,A,68,5.0       ,292.3,16.6
-9.387,-35.914,305.1,1.2,1.1,2015-12-02, 04:00,A,15,5.0       ,290.5,12.9
-9.611,-35.844,306.1,1.2,1.1,2015-12-02, 04:00,A,42,5.0       ,289.3,13.3
-9.612,-35.833,313.9,1.2,1.1,2015-12-02, 04:00,A,83,5.0       ,290,23.5
-9.612,-35.838,313.4,1.2,1.1,2015-12-02, 04:00,A,82,5.0       ,289.8,22.6
-15.036,-42.418,327.6,1.2,1.1,2015-12-02, 04:05,A,100,5.0       ,291.2,42.2
-5.542,-44.764,309,2.4,1.5,2015-12-02, 01:05,T,54,5.0       ,295,39.1
-5.391,-43.711,341,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295.7,146.3
-5.394,-43.729,334,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295.8,113.6
-5.529,-44.766,309.3,2.4,1.5,2015-12-02, 01:05,T,60,5.0       ,289.9,39.6
-5.379,-43.713,340.7,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295.4,143.7
-5.381,-43.731,346.8,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295.6,177.2
-5.547,-44.769,307,2.4,1.5,2015-12-02, 01:05,T,35,5.0       ,293.5,31.7
-5.388,-43.717,357.4,2,1.4,2015-12-02, 01:05,T,100,5.0       ,297.3,244
-5.391,-43.735,324.7,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295,75.6
-5.534,-44.77,313.2,2.4,1.5,2015-12-02, 01:05,T,75,5.0       ,290.5,50.7
-5.376,-43.719,344.4,2,1.4,2015-12-02, 01:05,T,100,5.0       ,295.6,163.7
-5.379,-43.737,321.3,2,1.4,2015-12-02, 01:05,T,100,5.0       ,294.1,63.8
-5.268,-43.022,308,1.7,1.3,2015-12-02, 01:05,T,58,5.0       ,296.7,16.8
-5.316,-43.463,315.5,1.9,1.3,2015-12-02, 01:05,T,88,5.0       ,297.7,38.6
-5.458,-44.715,310.2,2.4,1.5,2015-12-02, 01:05,T,70,5.0       ,295.3,36.2
-5.252,-43.252,312,1.8,1.3,2015-12-02, 01:05,T,77,5.0       ,297,28.7
-5.243,-43.243,306,1.8,1.3,2015-12-02, 01:05,T,40,5.0       ,295.3,17.2
-5.245,-43.259,308.8,1.8,1.3,2015-12-02, 01:05,T,63,5.0       ,295.8,23
-5.45,-44.723,308.1,2.4,1.5,2015-12-02, 01:05,T,59,5.0       ,295.3,29.2
-5.131,-43.535,308.6,1.9,1.3,2015-12-02, 01:05,T,57,5.0       ,296.5,19.3
-5.133,-43.552,318.2,1.9,1.3,2015-12-02, 01:05,T,95,5.0       ,296.5,46.4
-5.092,-43.336,308.5,1.8,1.3,2015-12-02, 01:05,T,50,5.0       ,296.9,18.7
-5.078,-43.321,316.9,1.8,1.3,2015-12-02, 01:05,T,92,5.0       ,296.6,39.6
-5.08,-43.337,324.2,1.8,1.3,2015-12-02, 01:05,T,100,5.0       ,297,59.7
-5.082,-43.354,310.9,1.8,1.3,2015-12-02, 01:05,T,73,5.0       ,297.4,22.9
-5.072,-43.329,318.2,1.8,1.3,2015-12-02, 01:05,T,95,5.0       ,296.4,43.7
-5.146,-43.86,306.1,2,1.4,2015-12-02, 01:05,T,40,5.0       ,295.5,18.2
-5.158,-44.418,311.9,2.2,1.4,2015-12-02, 01:05,T,77,5.0       ,295.9,40.9
-5.261,-45.189,308,2.6,1.5,2015-12-02, 01:05,T,58,5.0       ,295.2,32.4
-5.37,-46.011,307.2,3,1.7,2015-12-02, 01:05,T,52,5.0       ,294,39.9
-5.374,-46.037,307.2,3,1.7,2015-12-02, 01:05,T,52,5.0       ,291.4,43
-5.209,-44.898,328.9,2.4,1.5,2015-12-02, 01:05,T,100,5.0       ,297.7,117
-5.221,-45.463,314.7,2.7,1.6,2015-12-02, 01:05,T,86,5.0       ,295.8,63.7
-5.064,-44.395,311.7,2.2,1.4,2015-12-02, 01:05,T,68,5.0       ,294.7,42.1
-4.988,-44.312,305.8,2.2,1.4,2015-12-02, 01:05,T,37,5.0       ,293.4,19.8
