latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.925,-44.087,339.7,4.4,1.9,2015-10-17, 00:50,T,100,5.0       ,298.2,402.3
-9.93,-44.127,322.7,4.4,1.9,2015-10-17, 00:50,T,64,5.0       ,297.3,186.5
-9.908,-44.089,321.2,4.4,1.9,2015-10-17, 00:50,T,60,5.0       ,296.5,169.7
-9.886,-44.05,318.9,4.3,1.9,2015-10-17, 00:50,T,17,5.0       ,296.1,149.3
-9.868,-44.052,323.4,4.3,1.9,2015-10-17, 00:50,T,87,5.0       ,296.6,202.7
-9.873,-44.093,338.2,4.4,1.9,2015-10-17, 00:50,T,100,5.0       ,297.2,391
-9.851,-44.055,313.1,4.3,1.9,2015-10-17, 00:50,T,43,5.0       ,294.9,112.2
-9.33,-44.692,307.4,4.8,2,2015-10-17, 00:50,T,51,5.0       ,296.3,78.6
-9.316,-44.737,318.1,4.8,2,2015-10-17, 00:50,T,89,5.0       ,295.7,178.5
-9.331,-44.699,308.8,4.8,2,2015-10-17, 00:50,T,63,5.0       ,296.5,96.2
-9.318,-44.743,318.7,4.8,2,2015-10-17, 00:50,T,96,5.0       ,295.9,195.1
-7.685,-35.092,329.3,1,1,2015-10-17, 00:50,T,100,5.0       ,292.6,37.7
-6.548,-35.186,321,1,1,2015-10-17, 00:50,T,100,5.0       ,293,25.9
-6.43,-41.918,309.5,2.6,1.6,2015-10-17, 00:50,T,66,5.0       ,296.4,32.7
-6.433,-41.942,308.4,2.6,1.6,2015-10-17, 00:50,T,61,5.0       ,296.2,28.2
-5.894,-42.446,310.9,2.8,1.6,2015-10-17, 00:50,T,73,5.0       ,296.3,44.3
-6.169,-44.791,307.6,4.4,1.9,2015-10-17, 00:50,T,48,5.0       ,297.3,67.3
-5.211,-37.504,306.4,1.2,1.1,2015-10-17, 00:50,T,45,5.0       ,295.9,9.4
-5.892,-42.452,308.6,2.8,1.6,2015-10-17, 00:50,T,61,5.0       ,295.9,35.7
