latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-3.778,-47.746,315.5,1.3,1.1,2015-10-11, 01:30,T,88,5.0       ,295.3,21.9
-3.599,-46.599,309.9,1.1,1.1,2015-10-11, 01:30,T,68,5.0       ,294.9,13.1
-3.448,-45.643,315.7,1,1,2015-10-11, 01:30,T,89,5.0       ,295.7,17.2
-3.438,-45.635,345.1,1,1,2015-10-11, 01:30,T,100,5.0       ,296.8,64.4
-3.439,-45.644,351.7,1,1,2015-10-11, 01:30,T,100,5.0       ,297.1,79.6
-3.947,-49.302,326.8,1.7,1.3,2015-10-11, 01:30,T,100,5.0       ,293.2,67.9
-3.703,-47.644,314.8,1.3,1.1,2015-10-11, 01:30,T,86,5.0       ,296.2,22.8
-3.704,-47.655,317.7,1.3,1.1,2015-10-11, 01:30,T,94,5.0       ,295.9,27.6
-3.743,-48.002,324.8,1.4,1.2,2015-10-11, 01:30,T,100,5.0       ,296.7,44.3
-3.744,-48.014,317.1,1.4,1.2,2015-10-11, 01:30,T,93,5.0       ,296,29.2
-3.732,-48.003,312.6,1.4,1.2,2015-10-11, 01:30,T,79,5.0       ,295.3,21.5
-3.573,-47.234,311,1.2,1.1,2015-10-11, 01:30,T,73,5.0       ,296.9,15
-3.56,-47.496,313.9,1.3,1.1,2015-10-11, 01:30,T,84,5.0       ,296,21.9
-3.55,-47.497,313.9,1.3,1.1,2015-10-11, 01:30,T,84,5.0       ,294.9,22.2
-3.295,-46.396,305.5,1.1,1,2015-10-11, 01:30,T,31,5.0       ,295.5,7
-3.296,-46.406,305.9,1.1,1,2015-10-11, 01:30,T,39,5.0       ,295.3,7.3
-3.107,-45.897,305.3,1.1,1,2015-10-11, 01:30,T,26,5.0       ,295.2,6.6
-3.237,-48.56,309,1.5,1.2,2015-10-11, 01:30,T,64,5.0       ,295.3,17
-3.276,-48.842,315.4,1.5,1.2,2015-10-11, 01:30,T,76,5.0       ,296,26.5
-3.268,-48.878,308.3,1.6,1.2,2015-10-11, 01:30,T,21,5.0       ,295,14.2
-3.242,-48.854,315.2,1.5,1.2,2015-10-11, 01:30,T,38,5.0       ,294.7,25.2
-3.085,-47.821,307.6,1.3,1.1,2015-10-11, 01:30,T,55,5.0       ,295.1,12.8
-3.087,-47.833,321,1.3,1.1,2015-10-11, 01:30,T,100,5.0       ,295.7,33.7
-3.059,-47.861,349.7,1.3,1.1,2015-10-11, 01:30,T,100,5.0       ,297.1,104.8
-3.049,-47.862,323.4,1.3,1.1,2015-10-11, 01:30,T,100,5.0       ,295.3,37.1
-3.182,-49.082,308.1,1.6,1.2,2015-10-11, 01:30,T,58,5.0       ,294.4,17
-2.874,-47.699,308.4,1.3,1.1,2015-10-11, 01:30,T,61,5.0       ,295.8,12.8
-2.89,-47.814,306.2,1.3,1.1,2015-10-11, 01:30,T,42,5.0       ,296,9.8
-2.892,-47.825,306.1,1.3,1.1,2015-10-11, 01:30,T,41,5.0       ,295.9,9.6
-2.753,-47.349,308.3,1.2,1.1,2015-10-11, 01:30,T,60,5.0       ,295.9,12.2
-2.846,-48.152,307.4,1.4,1.2,2015-10-11, 01:30,T,54,5.0       ,295.2,13.3
-2.902,-48.552,312.3,1.5,1.2,2015-10-11, 01:30,T,78,5.0       ,294.1,22.7
-2.904,-48.565,326.1,1.5,1.2,2015-10-11, 01:30,T,100,5.0       ,294.5,51.2
-2.834,-48.141,326.3,1.4,1.2,2015-10-11, 01:30,T,100,5.0       ,296.3,45.5
-2.835,-48.153,333.3,1.4,1.2,2015-10-11, 01:30,T,100,5.0       ,297.4,61.6
-2.823,-48.142,316.8,1.4,1.2,2015-10-11, 01:30,T,92,5.0       ,295,26.6
-2.825,-48.155,325,1.4,1.2,2015-10-11, 01:30,T,100,5.0       ,295.2,42.3
-2.936,-48.957,308.4,1.6,1.2,2015-10-11, 01:30,T,61,5.0       ,295.1,16.1
-12.764,-48.219,307.8,1.9,1.4,2015-10-11, 01:25,T,57,5.0       ,291.1,24.6
