latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-5.108,-46.368,315.8,1.2,1.1,2015-12-03, 01:45,T,58,5.0       ,295.2,21.3
-5.118,-46.503,307.1,1.1,1.1,2015-12-03, 01:45,T,31,5.0       ,292.4,12
-5.022,-45.921,308.8,1.2,1.1,2015-12-03, 01:45,T,13,5.0       ,295.4,9.8
-5.01,-45.911,308.3,1.2,1.1,2015-12-03, 01:45,T,60,5.0       ,295.4,8.5
-5.012,-45.922,309.1,1.2,1.1,2015-12-03, 01:45,T,44,5.0       ,295.2,10.7
-5.01,-45.918,312.7,1.2,1.1,2015-12-03, 01:45,T,66,5.0       ,295.5,13.9
-4.939,-45.64,308.3,1.3,1.1,2015-12-03, 01:45,T,60,5.0       ,295.7,9.2
-4.838,-45.027,308,1.4,1.2,2015-12-03, 01:45,T,58,5.0       ,294.3,12.4
-4.499,-42.864,319.9,2.1,1.4,2015-12-03, 01:45,T,99,5.0       ,293.9,57.4
-4.502,-42.882,310.4,2.1,1.4,2015-12-03, 01:45,T,71,5.0       ,293,27.5
-5.377,-50.029,308.5,1,1,2015-12-03, 01:45,T,61,5.0       ,294.9,9.9
-4.706,-45.448,310.7,1.3,1.1,2015-12-03, 01:45,T,72,5.0       ,294.9,14
-4.756,-45.786,307,1.3,1.1,2015-12-03, 01:45,T,42,5.0       ,293.7,8
-4.877,-46.61,309,1.1,1.1,2015-12-03, 01:45,T,37,5.0       ,295,8.8
-4.695,-45.45,336,1.3,1.1,2015-12-03, 01:45,T,100,5.0       ,295.5,64.2
-4.697,-45.461,328.7,1.3,1.1,2015-12-03, 01:45,T,100,5.0       ,295,46.6
-4.581,-44.76,308.6,1.5,1.2,2015-12-03, 01:45,T,62,5.0       ,294.9,14.4
-4.685,-45.451,305.7,1.3,1.1,2015-12-03, 01:45,T,36,5.0       ,294.5,7.8
-4.781,-46.312,318.4,1.2,1.1,2015-12-03, 01:45,T,25,5.0       ,293.2,30.4
-4.521,-44.679,319.4,1.5,1.2,2015-12-03, 01:45,T,98,5.0       ,295.4,35.3
-4.765,-46.336,320.2,1.2,1.1,2015-12-03, 01:45,T,79,5.0       ,291.6,31.6
-4.807,-46.626,315.3,1.1,1.1,2015-12-03, 01:45,T,61,5.0       ,294.8,20.1
-4.809,-46.636,310,1.1,1.1,2015-12-03, 01:45,T,48,5.0       ,294,11.1
-4.688,-45.881,309.8,1.3,1.1,2015-12-03, 01:45,T,11,5.0       ,294.3,10
-4.667,-45.873,309.2,1.3,1.1,2015-12-03, 01:45,T,13,5.0       ,294,9.1
-4.725,-46.331,310.5,1.2,1.1,2015-12-03, 01:45,T,23,5.0       ,294.7,12
-4.726,-46.342,318.4,1.2,1.1,2015-12-03, 01:45,T,32,5.0       ,295,23
-4.728,-46.352,317.4,1.2,1.1,2015-12-03, 01:45,T,35,5.0       ,293.5,25.6
-4.414,-44.339,306.5,1.6,1.2,2015-12-03, 01:45,T,46,5.0       ,295.3,11.5
-4.45,-44.578,307.5,1.5,1.2,2015-12-03, 01:45,T,55,5.0       ,295.2,13
-4.713,-46.322,307.7,1.2,1.1,2015-12-03, 01:45,T,27,5.0       ,294.9,7.7
-4.633,-45.855,306.8,1.3,1.1,2015-12-03, 01:45,T,25,5.0       ,294.1,7.7
-4.706,-46.362,327.2,1.2,1.1,2015-12-03, 01:45,T,82,5.0       ,294.9,41.8
-4.606,-45.877,309.4,1.3,1.1,2015-12-03, 01:45,T,66,5.0       ,294.2,11.8
-4.666,-46.292,312.1,1.2,1.1,2015-12-03, 01:45,T,74,5.0       ,294.4,13.5
-4.668,-46.303,307.8,1.2,1.1,2015-12-03, 01:45,T,8,5.0       ,294.6,7.7
-3.226,-46.082,305.8,1.3,1.1,2015-12-03, 01:45,T,25,5.0       ,293.4,8.4
-3.229,-46.173,322,1.3,1.1,2015-12-03, 01:45,T,100,5.0       ,293.7,32.5
-3.397,-47.319,307.9,1.1,1,2015-12-03, 01:45,T,58,5.0       ,293.9,8.8
-3.399,-47.328,317.6,1.1,1,2015-12-03, 01:45,T,94,5.0       ,294.2,20.2
-3.4,-47.338,306,1.1,1,2015-12-03, 01:45,T,41,5.0       ,293.9,6.5
-3.212,-46.13,308.3,1.3,1.1,2015-12-03, 01:45,T,47,5.0       ,293.8,10.8
-3.202,-46.131,314.1,1.3,1.1,2015-12-03, 01:45,T,56,5.0       ,293.9,17.1
-3.204,-46.143,318.2,1.3,1.1,2015-12-03, 01:45,T,95,5.0       ,294.1,23.3
-3.264,-46.548,324.1,1.2,1.1,2015-12-03, 01:45,T,100,5.0       ,285.5,36.5
-3.266,-46.559,310.6,1.2,1.1,2015-12-03, 01:45,T,72,5.0       ,285.3,16.2
-3.203,-46.138,321,1.3,1.1,2015-12-03, 01:45,T,100,5.0       ,294.3,28.8
-3.261,-46.544,314.8,1.2,1.1,2015-12-03, 01:45,T,86,5.0       ,285.7,19.1
-3.263,-46.554,319.2,1.2,1.1,2015-12-03, 01:45,T,98,5.0       ,286.2,25.8
-3.044,-45.102,311.7,1.5,1.2,2015-12-03, 01:45,T,76,5.0       ,293.5,22.7
-3.192,-46.128,307.7,1.3,1.1,2015-12-03, 01:45,T,44,5.0       ,293.8,10
-3.25,-46.535,320.6,1.2,1.1,2015-12-03, 01:45,T,100,5.0       ,287.3,27.8
-3.252,-46.545,320.8,1.2,1.1,2015-12-03, 01:45,T,100,5.0       ,287.7,28.3
-3.253,-46.556,318.2,1.2,1.1,2015-12-03, 01:45,T,95,5.0       ,287.7,24.5
-3.389,-47.573,305.7,1.1,1,2015-12-03, 01:45,T,35,5.0       ,293.9,6.4
