/home/wbeirigo/Clima/weather/proj
VIR11;VIR11S;1;
VIR95;VIR95S;1;
VIR105;VIR105S;1;
VIR115;VIR115S;1;
VIR09;VIR09S;1;
VIR06;VIR06;1;
VIR75;VIR75S;1;
VIR70;VIR70S;1;
VIR08;VIR08;1;
VIR10;VIR10S;1;
VIR20;VIR20S;1;
VIR20 ZF;VIR20ZF;1;
VIR20;VIR20S;1;
VIR30;VIR30S;1;
VIR30 ZF;VIR30ZF;1;
VIR30;VIR30S;1;
VIR60;VIR60S;1;
VIR60 F;VIR60F;1;
VIR60 ZF;VIR60ZF;1;
VIR50;VIR50S;1;
VIR50 ZF;VIR50ZF;1;
VIR40;VIR40S;1;
VIR40 ZF;VIR40ZF;1;
VIR40 F;VIR40F;1;
RO004;RO04;1;
RO004 ZF;RO04ZF;1;
RO004 F;RO04F;1;
RO003;RO03;1;
RO001;RO01;1;
RO006;RO06;1;
RO005;RO05;1;
EM190 IL;EM190;1;
EM170 L ZF;EM170ZF;1;
EM170 L S;EM170S;1;
EM10 IVL;EM10;1;
EM190 IL;EM190;1;
EM160 L S;EM160S;1;
EM160 L 1/2 ZF;EM160ZF;1;
EM150 L S;EM150S;1;
EM150 L ZF;EM150ZF;1;
EM150 L F;EM150F;1;
EM40 IL;EM40;1;
EM140 IL S;EM140S;1;
EM140 IL 1/2ZF;EM140ZF;1;
EM140 IL F;EM140F;1;
EM110 IL S;EM110S;1;
EM70 IL;EM70;1;
EM110 IL F;EM110F;1;
EM110 1/2 ZF;EM110ZF;1;
EM100 L F;EM100F;1;
EM100 L S;EM100S;1;
EM100 L 1/2 ZF;EM100ZF;1;
MI420;MI420S;1;
SS250 IVL;SS250;1;
SS30 IL;SS30;1;
SS70 IVL ZF;SS70ZF;1;
SS70 IVL S;SS70S;1;
SS70 IVL F;SS70F;1;
JG60 IL;JG060;1;
JG10 IVL 1/2ZF;JG010ZF;1;
JG10 IVL F;JG010F;1;
JG10 IVL S;JG010S;1;
JG20 IVL 1/2;JG020S;1;
JG20 IVL S;JG020S;1;
JG20 IVL F;JG020F;1;
JG30 IL S;JG030S;1;
JG40  F;JG040F;1;
JG40 L S;JG040S;1;
JG40 ZF;JG040ZF;1;
JG50 IL ZF;JG050ZF;1;
JG50 IL F;JG050F;1;
JG50 IL S;JG050S;1;
VG172;VG172;1;
VG070 S;VG070S;1;
VG070 F;VG070F;1;
VG143 F;VG143F;1;
VG143 S;VG143S;1;
VG143 ZF;VG143ZF;1;
VG155 F;VG155F;1;
VG155 S;VG155S;1;
VG011 S;VG011S;1;
VG005;VG005;1;
MI054;MI054S;1;
MI400 ZF;MI400ZF;1;
MI400 F;MI400F;1;
MI400;MI400S;1;
MI410 ZF;MI410ZF;1;
MI410;MI410S;1;
MI410 F;MI410F;1;
MI420 F;MI420F;1;
MI420 ZF;MI420ZF;1;
MI120;MI120S;1;
MI430;MI430S;1;
MI430 F;MI430F;1;
MI400 ZF;MI400ZF;1;
RO002;RO02;1;
RO006;RO06;1;
RO005;RO05;1;
RO003;RO03;1;
RO004 ZF;RO04ZF;1;
RO004;RO04;1;
RO004 F;RO04F;1;
RO003;RO03;1;
SU001;SU001;1;
SU003;SU003;1;
SU002 S;SU002;1;
BJ003;BJ003;1;
BJ002;BJ002;1;
BJ001;BJ001;1;
LG001;LG01;1;
LG002;LG02;1;
MT002;MT02;1;
MT001;MT01;1;
P002;P02S;0;
P001;P01S;0;
P001;P01S;0;
SL002;SL02;1;
SL001;SL01;1;
SM001;SM001;1;
SM002;SM002;1;
EM190 IL;EM190;1;
SV20 IL;SV020;1;
SV30 IL;SV030;1;
EM170 L S;EM170S;1;
EM170 L ZF;EM170ZF;1;
EM170 L F;EM170F;1;
SV40 IL;SV040;1;
EM160 L 1/2 ZF;EM160ZF;1;
EM160 L F;EM160F;1;
EM160 L S;EM160S;1;
EM110 IL S;EM110S;1;
EM110 1/2 ZF;EM110ZF;1;
EM110 IL F;EM110F;1;
EM100 L 1/2 ZF;EM100ZF;1;
EM100 L F;EM100F;1;
EM100 L S;EM100S;1;
EM70 IL;EM70;1;
EM150 L ZF;EM150ZF;1;
EM150 L F;EM150F;1;
EM150 L S;EM150S;1;
EM140 IL F;EM140F;1;
EM140 IL S;EM140S;1;
EM140 IL 1/2ZF;EM140ZF;1;
EM40 IL;EM40;1;
EM10 IVL;EM10;1;
PT001;PT001S;1;
PR001;PR001;1;
PT003;PT003S;1;
PR002;PR002;1;
PT004;PT004S;1;
PT002 ZF;PT002ZF;1;
PT002;PT002S;1;
PT002 F;PT002F;1;
PR003;PR003;1;
JG10 IVL F;JG010F;1;
JG10 IVL S;JG010S;1;
JG20 IVL 1/2;JG020S;1;
JG20 IVL S;JG020S;1;
JG20 IVL F;JG020F;1;
JG30 IL 1/2 ZF;JG030ZF;1;
JG30 IL S;JG030S;1;
JG30 IL F;JG030F;1;
TR002;TR002S;1;
TR004;TR004S;1;
JG40  F;JG040F;1;
JG40 L S;JG040S;1;
SC004;SCLI04S;1;
JG40 ZF;JG040ZF;1;
SC005;SCLI05S;1;
JG50 IL S;JG050S;1;
JG50 IL F;JG050F;1;
SC003;SCLI03S;1;
SC003;SCLI03S;1;
TR003;TR003S;1;
JG60 IL;JG060;1;
TR001;TR001S;1;
SC001;SCLI01;1;
SC002;SCLI02S;1;
SG003 S;SG003S;1;
SG003 F;SG003F;1;
SG004;SG004;1;
SG001;SG001;1;
SG002;SG002;1;
VIR70;VIR70S;1;
VIR75;VIR75S;1;
VIR40;VIR40S;1;
VIR40 F;VIR40F;1;
VIR40 ZF;VIR40ZF;1;
VIR60;VIR60S;1;
VIR60 F;VIR60F;1;
VIR60 ZF;VIR60ZF;1;
VIR20;VIR20S;1;
VIR20 ZF;VIR20ZF;1;
VIR20 S;VIR20S;1;
VIR30 ZF;VIR30ZF;1;
VIR30 S;VIR30S;1;
VIR30;VIR30S;1;
VIR50;VIR50S;1;
VIR50 F;VIR50F;1;
VIR50 ZF;VIR50ZF;1;
VIR105;VIR105S;1;
SM001;SM001;1;
VIR95;VIR95S;1;
VIR09;VIR09S;1;
VIR06;VIR06;1;
SM002;SM002;1;
VIR08;VIR08;1;
VIR10;VIR10S;1;
VIR115;VIR115S;1;
IG-LI-03;IGLI03;1;
IG-LI-04;IGLI04;1;
IG-LI-02;IGLI02;1;
VIR11;VIR11S;1;
VIR03;VIR03;1;
SS70 IVL S;SS70S;1;
SS70 IVL F;SS70F;1;
SS250 IVL;SS250;1;
SS30 IL;SS30;1;
PQ004;PQ004S;1;
PQ003;PQ003S;1;
PQ002;PQ002S;1;
PQ001;PQ001S;1;
CM002;CM002;1;
CM003;CM003;1;
IT003;IT03;1;
IT002;IT02;1;
SB001;SB001;1;
EM190 IL;EM190;1;
EM40 IL;EM40;1;
EM160 L S;EM160S;1;
EM160 L 1/2 ZF;EM160ZF;1;
EM160 L F;EM160F;1;
EM170 L F;EM170F;1;
EM170 L S;EM170S;1;
EM170 L ZF;EM170ZF;1;
EM140 IL F;EM140F;1;
EM140 IL S;EM140S;1;
EM150 L ZF;EM150ZF;1;
EM150 L F;EM150F;1;
EM150 L S;EM150S;1;
EM70 IL;EM70;1;
EM110 IL S;EM110S;1;
EM110 IL F;EM110F;1;
EM110 1/2 ZF;EM110ZF;1;
EM100 L S;EM100S;1;
EM100 L 1/2 ZF;EM100ZF;1;
EM100 L F;EM100F;1;
EM10 IVL;EM10;1;
PC002;PC002;1;
